gene	symbol	pvalue	effectsize	signif
5860	QDPR	6.72668326501194e-07	1.19217543894749	TRUE
26043	UBXN7	2.19406367664419e-06	-2.33607709418155	TRUE
51530	ZC3HC1	2.64296053371714e-06	-1.79398845189336	TRUE
4001	LMNB1	7.56028891154854e-06	-2.11294058592754	TRUE
50810	HDGFL3	1.25235774361633e-05	-1.93229928184838	TRUE
249	ALPL	1.57235454871594e-05	-0.775443655200843	TRUE
284001	CCDC57	1.75193680393237e-05	-1.84058907114852	TRUE
25924	MYRIP	2.54962599090588e-05	-1.72235998663341	TRUE
50808	AK3	2.99346200455902e-05	-1.33733138480604	TRUE
4659	PPP1R12A	3.63744491560571e-05	-2.7460468339041	TRUE
22933	SIRT2	3.74272513860499e-05	0.640401792864402	TRUE
1267	CNP	3.96200265003969e-05	0.552833192089796	TRUE
154091	SLC2A12	4.04897433776755e-05	-1.39882419497617	TRUE
116151	FAM210B	4.15673594365444e-05	-1.43636020178851	TRUE
3752	KCND3	4.71895665878986e-05	-2.55846227078099	TRUE
83442	SH3BGRL3	5.12707936644014e-05	1.41214637221687	TRUE
51228	GLTP	5.54188662330155e-05	0.592760224742991	TRUE
4849	CNOT3	6.20536376276505e-05	-2.58568568538577	TRUE
6341	SCO1	7.09349485556111e-05	-2.14853297960188	TRUE
5354	PLP1	7.21202793162174e-05	0.363174276020893	TRUE
29119	CTNNA3	7.54898030734284e-05	0.755828587561222	TRUE
23052	ENDOD1	7.96210088150786e-05	1.7219182440667	TRUE
6727	SRP14	8.30245950749496e-05	-1.78342921649969	TRUE
55651	NHP2	8.59228608353295e-05	-1.57759959408947	TRUE
10594	PRPF8	0.000100386070775117	-2.78730230256901	TRUE
23160	WDR43	0.000108751547446857	-1.45387850269862	TRUE
6428	SRSF3	0.000113829029237183	-2.21974514986418	TRUE
84938	ATG4C	0.000126404215003828	1.63783145939966	TRUE
84823	LMNB2	0.000131688258737867	-2.46205741475374	TRUE
9743	ARHGAP32	0.000133574228705147	-2.08133690380115	TRUE
10284	SAP18	0.000136973208905291	-2.28272249142977	TRUE
10382	TUBB4A	0.000143148328088944	1.9985299449042	TRUE
93377	OPALIN	0.00015014420080268	0.553252503300952	TRUE
23049	SMG1	0.000150689359279217	-2.50566100304227	TRUE
84991	RBM17	0.000159384488712173	-2.4954615487937	TRUE
110806280	CCDC194	0.000159609359919309	-1.09737798636735	TRUE
9513	FXR2	0.000160072444239176	-2.96970208641052	TRUE
8165	AKAP1	0.00016889184767825	-1.97894236231568	TRUE
4340	MOG	0.000178550502868488	0.502273335977524	TRUE
158747	MOSPD2	0.000178699195071234	1.105683749443	TRUE
23635	SSBP2	0.000179367424950793	-1.32429435538861	TRUE
51700	CYB5R2	0.000180072839033465	0.774093990584709	TRUE
10137	RBM12	0.000182978497930056	1.49367382447073	TRUE
51090	PLLP	0.000186403015322715	0.581817102881792	TRUE
29086	BABAM1	0.000190636913359552	-2.46027860334647	TRUE
54443	ANLN	0.000194362973133713	0.44504338736578	TRUE
9733	SART3	0.000203620510058178	-2.7500733941729	TRUE
125488	TTC39C	0.000205278437705282	-1.98154093732057	TRUE
55023	PHIP	0.000206998687919685	-1.67972782936028	TRUE
5122	PCSK1	0.000207638244437812	-1.2891294169132	TRUE
55824	PAG1	0.000210641483508253	-1.9797141127085	TRUE
3732	CD82	0.000215743108170605	0.713552816140096	TRUE
79885	HDAC11	0.000222016466653539	0.890966086185485	TRUE
10730	YME1L1	0.000222126583743672	0.603819934908914	TRUE
1783	DYNC1LI2	0.000223433917428204	2.55846084026157	TRUE
57513	CASKIN2	0.000229619242208349	-1.88597951789162	TRUE
4747	NEFL	0.000238329126552329	0.678175581322022	TRUE
57473	ZNF512B	0.000240595586961025	-1.23172770955842	TRUE
153090	DAB2IP	0.00024180159593325	-2.35723835715506	TRUE
54468	MIOS	0.00024707005889353	-1.94885897722048	TRUE
57571	CARNS1	0.000256305131037875	0.502405691180742	TRUE
2009	EML1	0.000259726687376756	-1.88956584175236	TRUE
928	CD9	0.000272749113601123	0.443355910732647	TRUE
873	CBR1	0.00027491194590703	0.99507602877259	TRUE
9821	RB1CC1	0.000279149251213842	-3.11090084197795	TRUE
9762	LZTS3	0.000303827685533094	-1.39089256831872	TRUE
26520	TIMM9	0.00030432095788194	-2.41918201172704	TRUE
6453	ITSN1	0.000307334799916756	-3.72350601014637	TRUE
56243	KIAA1217	0.000308421192552373	-2.52817856857235	TRUE
23350	U2SURP	0.000314101176932149	-2.25556847767826	TRUE
10363	HMG20A	0.000315783207468514	-1.53058440052339	TRUE
988	CDC5L	0.000329747167080643	-1.89226495687262	TRUE
7504	XK	0.000339300825941326	0.827406061614081	TRUE
11168	PSIP1	0.000343693274753869	-1.13331725238721	TRUE
64145	RBSN	0.000345967780163697	-2.56712368029404	TRUE
5782	PTPN12	0.000361348843418935	-1.06462833744766	TRUE
729438	CASTOR2	0.000393646117439974	-1.8173060707306	TRUE
9520	NPEPPS	0.000395516315790737	2.7079726981096	TRUE
123879	DCUN1D3	0.000399090024370219	-1.72253467277029	TRUE
9416	DDX23	0.000402994228708808	-2.4683994008277	TRUE
58506	SCAF1	0.00040630697169676	-1.58305357793403	TRUE
22997	IGSF9B	0.000410796118513752	-1.68251408455944	TRUE
9863	MAGI2	0.000412236700808287	-2.90719970584165	TRUE
9462	RASAL2	0.000415702976407837	-2.21775304732256	TRUE
57805	CCAR2	0.000415889670654611	-2.20633362461169	TRUE
151987	PPP4R2	0.000431915457918695	-1.4275800925972	TRUE
